nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_03_22,02_03_22,03_03_22,04_03_22,05_03_22,06_03_22,07_03_22,08_03_22,09_03_22,10_03_22,11_03_22,12_03_22,13_03_22,14_03_22,15_03_22,16_03_22,17_03_22,18_03_22,19_03_22,20_03_22,21_03_22,22_03_22,23_03_22,24_03_22,25_03_22,26_03_22,27_03_22,28_03_22,29_03_22,30_03_22,31_03_22,total
Ipirá,PG-CL-02,Ipirá,Ipirá - PG-CL-02,-12.14986,-39.76454,Nordeste,RPGA do Rio Paraguaçu,0.0,0.0,0.2,2.2,2.2,32.8,0.2,0.0,2.8,0.2,1.6,0.0,0.0,0.0,0.0,4.6,3.8,1.8,0.0,0.0,0.0,0.4,0.2,0.4,0.0,0.6,0.0,0.0,0.2,0.2,0.0,54.41
Valente,PG-PR-04,Valente,Valente - PG-PR-04,-11.40119,-39.458099,Nordeste,RPGA do Rio Paraguaçu,0.0,0.0,0.0,76.2,7.6,9.0,0.8,0.0,0.0,9.2,0.2,0.0,0.0,0.0,0.0,13.6,0.0,0.0,16.6,0.0,0.0,0.0,10.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.8
Pé de Serra,PG-PR-06,Pé de Serra,Pé de Serra - PG-PR-06,-11.833423,-39.623663,Nordeste,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,13.0,11.0,0.0,0.0,0.0,3.4,0.6,2.8,0.0,0.0,0.0,3.2,1.8,2.0,1.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,41.6
Itapeipu,IT-PR-34,Jacobina,Jacobina (Itapeipu) - IT-PR-34,-11.315629,-40.356742,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,4.4,11.4,17.0,0.6,2.0,0.0,1.4,6.6,1.4,0.0,0.0,1.0,0.6,4.2,2.8,13.2,0.0,0.0,0.2,0.4,0.2,0.0,1.8,0.0,1.0,0.2,0.0,0.2,70.61
Caém,IT-PR-35,Caém,Caém - IT-PR-35,-11.093399,-40.437579,Nordeste,RPGA do Rio Itapicuru,0.6,0.0,0.0,0.0,30.4,13.2,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.6,16.4,0.2,0.0,0.0,2.4,0.0,0.0,0.2,0.0,6.6,0.0,0.0,1.8,85.81
Santaluz,IT-PR-17,Santaluz,Santaluz - IT-PR-17,-11.24831,-39.37563,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,5.4,6.0,1.8,0.0,0.0,0.0,0.8,2.0,0.0,0.0,0.0,0.0,1.2,0.2,0.0,7.2,0.0,0.0,0.0,6.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2
Nordestina,IT-PR-22,Nordestina,Nordestina - IT-PR-22,-10.826728,-39.437543,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,22.6,5.4,4.8,2.4,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.8,27.0,2.6,2.6,3.4,0.0,0.2,0.8,1.0,1.2,0.0,0.0,0.6,0.0,0.2,0.0,75.8
Ribeira do Amparo,A458,Ribeira do Amparo,Ribeira do Amparo - A458,-11.058722,-38.444028,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,16.6,19.2,4.0,4.2,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,11.0,9.4,1.2,1.4,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.4,0.0,69.81
Curral Falso,IT-PR-01,Ribeira do Pombal,Ribeira do Pombal (Curral Falso) - IT-PR-01,-10.697843,-38.5714,Nordeste,RPGA do Rio Itapicuru,0.0,2.4,0.0,2.4,8.6,0.0,0.0,0.0,0.6,0.6,0.4,1.4,14.2,0.0,0.0,8.0,21.0,3.0,6.4,0.0,0.0,15.0,0.0,9.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,93.8
Ribeira do Pombal,IT-PR-04,Ribeira do Pombal,Ribeira do Pombal - IT-PR-04,-10.823399,-38.545844,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,1.4,9.8,0.4,1.0,0.2,0.0,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,5.6,1.8,3.8,0.0,0.0,33.8,0.2,4.8,0.0,0.0,0.0,0.4,0.0,0.0,0.0,64.81
