nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_07_21,02_07_21,03_07_21,04_07_21,05_07_21,06_07_21,07_07_21,08_07_21,09_07_21,10_07_21,11_07_21,12_07_21,13_07_21,14_07_21,total
Centro,293010501A,Senhor do Bonfim,Senhor do Bonfim (Centro) - 293010501A,-10.464,-40.19,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,2.57,0.0,0.0,0.2,0.4,0.2,0.0,0.2,1.19,0.2,0.0,0.79,5.75
Itapeipu,IT-PR-34,Jacobina,Jacobina (Itapeipu) - IT-PR-34,-11.315999999999999,-40.357,Nordeste,RPGA do Rio Itapicuru,0.0,19.0,4.4,0.0,0.0,3.4,1.2,0.0,0.0,2.6,0.6,0.6,0.0,6.8,38.6
Caém,IT-PR-35,Caém,Caém - IT-PR-35,-11.093,-40.438,Nordeste,RPGA do Rio Itapicuru,0.0,26.2,3.6,0.0,0.0,4.4,2.6,0.0,0.0,4.2,1.2,2.8,0.0,6.8,51.81
Carrapichel,IT-PR-37,Senhor do Bonfim,Senhor do Bonfim (Carrapichel) - IT-PR-37,-10.388,-40.22,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Santaluz,IT-PR-17,Santaluz,Santaluz - IT-PR-17,-11.248,-39.376,Nordeste,RPGA do Rio Itapicuru,0.6,6.4,8.8,0.0,0.4,9.2,1.8,0.6,0.2,0.4,1.8,3.6,0.0,0.8,34.6
Fazenda Boa Vista,IT-PR-18,Uauá,Uauá (Fazenda Boa Vista) - IT-PR-18,-10.059,-39.705999999999996,Nordeste,RPGA do Rio Itapicuru,0.0,2.6,8.6,4.0,0.0,4.6,3.6,0.4,3.8,3.0,1.4,0.0,0.0,1.8,33.8
Ribeira do Amparo,A458,Ribeira do Amparo,Ribeira do Amparo - A458,-11.059000000000001,-38.444,Nordeste,RPGA do Rio Itapicuru,0.6,2.8,5.8,13.2,1.6,0.0,1.0,0.6,3.6,12.4,8.0,1.4,2.6,11.6,65.2
Quijingue,IT-PR-25,Quijingue,Quijingue - IT-PR-25,-10.784,-39.208,Nordeste,RPGA do Rio Itapicuru,0.6,2.4,7.0,1.8,0.8,3.6,3.2,0.4,0.8,6.0,1.6,0.8,0.0,2.0,31.01
Inhambupe,RN-CL-10,Inhambupe,Inhambupe - RN-CL-10,-11.693,-38.314,Nordeste,RPGA do Recôncavo Norte,2.6,3.4,16.2,9.8,3.0,10.2,5.8,1.0,7.0,5.4,18.0,2.4,0.6,7.0,92.4
Curral Falso,IT-PR-01,Ribeira do Pombal,Ribeira do Pombal (Curral Falso) - IT-PR-01,-10.698,-38.571,Nordeste,RPGA do Rio Itapicuru,0.8,4.2,8.6,5.8,1.6,0.6,1.2,2.0,8.2,17.6,8.8,1.6,4.4,3.6,69.0
