nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_02_21,02_02_21,03_02_21,04_02_21,05_02_21,06_02_21,07_02_21,08_02_21,09_02_21,10_02_21,11_02_21,12_02_21,13_02_21,14_02_21,15_02_21,16_02_21,17_02_21,18_02_21,19_02_21,20_02_21,21_02_21,22_02_21,23_02_21,24_02_21,25_02_21,26_02_21,27_02_21,28_02_21,total
Rio do Pires,PM-CL-04,Rio do Pires,Rio do Pires - PM-CL-04,-13.11695,-42.28411,Chapada Diamantina,RPGA dos Rios Paramirim e Santo Onofre,0.0,0.2,23.0,3.4,0.0,0.2,22.4,11.2,14.8,31.0,0.6,0.0,0.4,0.0,0.0,13.2,0.2,0.4,0.0,3.0,3.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,130.8
Iaçu,PG-CL-05,Iaçu,Iaçu - PG-CL-05,-12.9114,-40.03177,Chapada Diamantina,RPGA do Rio Paraguaçu,0.6,0.6,0.5,1.1,0.1,0.5,0.7,23.5,4.5,0.0,0.4,1.2,0.9,0.0,0.0,0.1,9.2,26.6,0.2,0.1,0.0,0.5,0.0,0.2,1.6,0.1,1.5,1.0,75.7
Marcionílio Souza,PG-CL-03,Marcionílio Souza,Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,4.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,58.6
Seabra,PG-PR-01,Seabra,Seabra - PG-PR-01,-12.428149,-41.770409,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,1.6,0.0,0.4,2.4,0.0,83.6,0.4,2.0,0.2,0.0,0.0,0.0,0.0,0.0,27.8,19.2,14.2,21.6,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.6
Baixa Grande,PG-PR-08,Baixa Grande,Baixa Grande - PG-PR-08,-11.908701,-40.183683,Chapada Diamantina,RPGA do Rio Paraguaçu,1.2,0.0,0.2,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2
Ventura,PG-PR-10,Morro do Chapéu,Morro do Chapéu (Ventura) - PG-PR-10,-11.650911,-40.951765,Chapada Diamantina,RPGA do Rio Paraguaçu,0.2,0.2,0.0,0.0,0.0,0.0,1.8,10.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.4,1.0,36.2,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.2,81.8
Bonito,PG-PR-11,Bonito,Bonito - PG-PR-11,-11.98993,-41.25429,Chapada Diamantina,RPGA do Rio Paraguaçu,2.8,8.4,4.2,0.0,0.2,0.0,17.2,7.4,1.6,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.4,1.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.81
Piatã,CO-CL-04,Piatã,Piatã - CO-CL-04,-13.164166,-41.770833,Chapada Diamantina,RPGA do Rio de Contas,0.0,29.75,0.0,0.0,0.0,0.0,10.95,1.75,5.5,7.0,0.0,0.0,0.0,0.0,0.0,23.75,4.5,7.5,21.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,112.45
Centro,291900901A,Lajedinho,Lajedinho (Centro) - 291900901A,-12.35585,-40.90228,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.2,0.2,0.0,0.0,7.2,4.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.0,20.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.6
PC Ponte Rio Capivari,51326200,Itaberaba,Itaberaba (PC Ponte Rio Capivari) - 51326200,-12.51429,-39.93422,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.4,0.0,0.0,0.0,6.2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,17.6
Fazenda Terra Grapiúna,PG-FR-04,Wagner,Wagner (Fazenda Terra Grapiúna) - PG-FR-04,-12.181482,-41.150663,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,4.4,0.0,0.0,0.0,0.0,23.4,1.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,5.4,3.0,12.6,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
Açude Bandeira de Melo Jusante,PG-FR-18,Itaeté,Itaeté (Açude Bandeira de Melo Jusante) - PG-FR-18,-13.04056,-40.777224,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,11.4,27.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.6,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,47.4
Itaberaba,291470301C,Itaberaba,Itaberaba - 291470301C,-12.457663,-40.201519,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.6,8.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.81
Barro Alto,290323501C,Barro Alto,Barro Alto - 290323501C,-11.811728,-41.901164,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,11.6,0.0,3.4,11.8,40.2,12.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,4.6,12.4,15.8,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,117.01
Ibicoara,291220201C,Ibicoara,Ibicoara - 291220201C,-13.446389,-41.297933,Chapada Diamantina,RPGA do Rio de Contas,0.8,1.2,0.0,1.0,0.0,0.0,28.4,4.6,5.6,2.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.6,1.6,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,76.6
Chorrochó,290770701C,Chorrochó,Chorrochó - 290770701C,-8.98354,-39.11837,Nordeste,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20.0
Jacobina,83186,Jacobina,Jacobina - 83186,-11.172778,-40.534167,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2
Ladeira Vermelha,291750801A,Jacobina,Jacobina (Ladeira Vermelha) - 291750801A,-11.161707,-40.554213,Nordeste,RPGA do Rio Itapicuru,0.2,0.2,0.0,0.0,0.0,0.0,0.0,1.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4
Feliz Tomaz,291750802A,Jacobina,Jacobina (Feliz Tomaz) - 291750802A,-11.174316,-40.517837,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.2,0.0,0.0,0.0,0.6,0.4,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,13.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6
