nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_11_21,02_11_21,03_11_21,04_11_21,05_11_21,06_11_21,07_11_21,08_11_21,total
Fazenda Alecrim ,IT-FR-21,Filadélfia,Filadélfia (Fazenda Alecrim ) - IT-FR-21,-10.7522,-40.22444,Nordeste,RPGA do Rio Itapicuru,0.2,0.0,11.4,1.8,8.6,0.0,15.0,32.6,69.6
Fazenda Grutinha,IT-FR-13,Pindobaçu,Pindobaçu (Fazenda Grutinha) - IT-FR-13,-10.7589,-40.4367,Nordeste,RPGA do Rio Itapicuru,0.6,0.0,28.2,1.4,17.0,0.0,3.6,6.6,57.41
Queimadas,IT-FR-26,Queimadas,Queimadas - IT-FR-26,-10.9733,-39.6328,Nordeste,RPGA do Rio Itapicuru,0.4,0.0,42.8,0.2,44.8,0.0,6.4,4.8,99.4
Itaberaba,291840701A,Juazeiro,Juazeiro (Itaberaba) - 291840701A,-9.44837,-40.48517,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,2.2,0.2,66.4,0.0,0.2,2.4,71.41
Maria Gorete,291840703A,Juazeiro,Juazeiro (Maria Gorete) - 291840703A,-9.42014,-40.49909,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.8,0.0,59.2,0.0,0.0,2.0,62.0
João Paulo II,291840704A,Juazeiro,Juazeiro (João Paulo II) - 291840704A,-9.47067,-40.49805,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,2.0,0.0,104.6,0.0,1.8,2.6,111.0
Lapão,291915701A,Lapão,Lapão - 291915701A,-11.38,-41.83,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,16.6,25.4,19.4,0.6,56.6,25.2,143.8
Centro,290115501A,América Dourada,América Dourada (Centro) - 290115501A,-11.45011,-41.434004,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,42.6,34.4,54.6,0.2,32.4,50.2,214.4
Várzea Nova,SA-CL-02,Várzea Nova,Várzea Nova - SA-CL-02,-11.23996,-40.935618,Norte,RPGA do Rio Salitre,0.0,0.0,7.4,2.6,12.6,0.0,1.0,56.8,80.4
CODEVASF Salitre,MC-CL-01,Juazeiro,Juazeiro (CODEVASF Salitre) - MC-CL-01,-9.48778,-40.61333,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,11.4,0.0,9.0,0.0,0.0,17.8,38.2
Campo Formoso,IT-CL-02,Campo Formoso,Campo Formoso - IT-CL-02,-10.47062,-40.33412,Norte,RPGA do Rio Itapicuru,0.0,0.0,24.2,0.0,36.0,0.0,18.6,10.2,89.01
Sento Sé,SO-CL-01,Sento Sé,Sento Sé - SO-CL-01,-9.78228,-41.81872,Norte,RPGA do Lago de Sobradinho,0.0,0.0,0.0,0.0,2.8,0.0,16.8,0.0,19.6
Itaguaçu da Bahia,VJ-CL-03,Itaguaçu da Bahia,Itaguaçu da Bahia - VJ-CL-03,-10.9549,-42.3465,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,20.6,0.4,17.4,1.2,10.0,14.6,64.2
Juazeiro,48020000,Juazeiro,Juazeiro - 48020000,-9.4064,-40.5036,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.8,0.2,40.2,0.4,1.4,4.0,47.0
Ibipeba,VJ-CL-02,Ibipeba,Ibipeba - VJ-CL-02,-11.62667,-42.06444,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,5.4,0.2,58.4,11.0,13.2,17.2,105.4
Lapão,VJ-PR-23,Lapão,Lapão - VJ-PR-23,-11.401625,-41.894,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,22.2,10.8,36.6,0.4,41.8,31.2,143.0
Mirangaba,IT-PR-29,Mirangaba,Mirangaba - IT-PR-29,-10.954784,-40.574527,Norte,RPGA do Rio Itapicuru,0.0,0.0,4.0,10.8,12.2,0.4,28.2,3.4,59.0
Barreiras,83236,Barreiras,Barreiras - 83236,-12.155556,-45.007778,Oeste,RPGA do Rio Grande,0.0,0.2,5.0,0.0,0.6,29.6,9.3,0.0,44.7
Derocal,46455000,São Desidério,São Desidério (Derocal) - 46455000,-12.412696,-45.121499,Oeste,RPGA do Rio Grande,3.0,0.0,7.8,0.0,0.4,2.0,2.6,0.0,15.8
Fazenda Redenção,46543000,Barreiras,Barreiras (Fazenda Redenção) - 46543000,-12.1358,-45.1033,Oeste,RPGA do Rio Grande,0.0,0.6,4.4,0.0,0.0,15.8,2.2,0.0,23.0
Fazenda Santa Luzia,CA-CL-01,Cocos,Cocos (Fazenda Santa Luzia) - CA-CL-01,-14.85528,-45.93583,Oeste,RPGA do Rio Carinhanha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
