municipio,estacao,regiao,rpga,latitude,longitude,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
Coronel João Sá,Coronel João Sá - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.284624,-37.917698,42.7,0.8,0.0,46.31,45.0,28.4,122.3,30.7,0.0,56.4,0.0,133.9
Curaçá,Curaçá - EBDA,Nordeste,RPGA dos Rios Macururé e Curaçá,-8.98459,-39.90108,28.8,0.0,14.4,25.0,7.4,0.0,4.4,7.8,0.0,6.9,21.1,88.4
Senhor do Bonfim,Senhor do Bonfim - A428,Nordeste,RPGA do Rio Itapicuru,-10.443072,-40.148244,78.4,0.61,2.4,190.6,63.81,51.41,94.4,47.0,28.2,40.61,18.8,206.8
Cansanção,Cansanção - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.66796,-39.501074,18.6,0.0,0.0,48.51,54.4,28.1,31.9,9.8,8.2,11.5,0.0,212.4
Tucano,Tucano - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.971302,-38.781056,58.0,0.0,0.0,71.5,58.0,54.0,74.0,33.5,20.0,54.0,14.5,50.0
Banzaê,Banzaê - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.584629,-38.617717,0.0,0.0,0.0,107.9,128.0,99.4,171.5,52.5,33.5,106.5,32.5,92.0
Cipó,Cipó - 83192,Nordeste,RPGA do Rio Itapicuru,-11.083333,-38.516667,21.3,3.1,14.7,63.0,65.7,46.1,91.4,67.3,40.1,49.31,19.1,138.7
Jacobina,Jacobina - 83186,Nordeste,RPGA do Rio Itapicuru,-11.172778,-40.534167,214.6,4.0,24.1,43.81,31.0,36.1,79.2,47.81,18.1,38.4,103.1,93.0
Monte Santo,Monte Santo - 83090,Nordeste,RPGA do Rio Itapicuru,-10.4425,-39.331111,32.4,0.0,0.1,53.5,58.51,33.7,63.9,35.4,16.31,63.8,20.1,201.21
Paulo Afonso,Paulo Afonso - 82986,Nordeste,RPGA dos Rios Macururé e Curaçá,-9.379325,-38.227424,50.7,0.0,0.0,55.8,46.7,11.6,80.4,21.2,2.0,59.7,0.0,67.6
Serrinha,Serrinha - 83190,Nordeste,RPGA do Recôncavo Norte,-11.633333,-38.966667,114.0,2.61,7.3,88.11,74.3,91.9,111.6,56.31,22.01,69.4,37.7,30.6
Uauá,Uauá - A435,Nordeste,RPGA do Rio Vaza-Barris,-9.833617,-39.495631,58.2,0.0,0.4,58.8,6.81,16.4,17.4,12.0,3.01,16.0,13.61,225.8
Euclides da Cunha,Euclides da Cunha - A442,Nordeste,RPGA do Rio Itapicuru,-10.537233,-38.996605,50.2,0.8,2.0,116.41,136.0,63.21,118.4,62.2,53.01,89.8,40.0,140.81
Serrinha,Serrinha - A441,Nordeste,RPGA do Rio Paraguaçu,-11.664586,-39.022946,6.81,0.0,0.4,78.2,72.4,95.61,107.2,82.2,21.0,70.21,31.0,40.2
Canudos,Canudos - EBDA - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-9.897945,-39.027448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Senhor do Bomfim,Senhor do Bomfim (Tijuaçú) - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.617957,-40.134423,94.0,0.0,0.0,183.0,188.0,56.0,67.0,19.0,10.0,25.0,14.0,217.0
Pindobaçu,Pindobaçu (Faz. Boa Esperança) - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.734626,-40.367764,103.0,1.0,0.0,140.0,31.0,38.0,101.0,52.0,12.0,42.0,36.0,131.0
Ponto Novo,Ponto Novo - 50380000,Nordeste,RPGA do Rio Itapicuru,-10.845,-40.1128,73.6,0.0,0.0,60.01,22.4,35.61,39.01,31.0,22.0,19.21,8.0,119.2
Fátima,Fátima - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.594074,-38.217985,0.0,0.0,0.0,65.0,148.5,82.5,135.0,57.5,28.0,84.0,50.0,69.0
Novo Triunfo,Novo Triunfo - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.348512,-38.409377,0.0,0.0,0.0,0.0,53.0,26.0,121.5,26.0,15.0,98.0,0.0,30.0
Ipirá,Ipirá - PG-CL-02,Nordeste,RPGA do Rio Paraguaçu,-12.14986,-39.76454,29.25,3.25,0.0,21.3,39.5,66.5,63.0,26.5,27.5,16.0,58.5,121.25
Serrinha,Serrinha - RN-CL-02,Nordeste,RPGA do Recôncavo Norte,-11.648333,-38.982777,140.5,6.75,4.25,71.0,132.25,106.8,151.25,88.0,63.5,96.0,91.75,55.9
Valente,Valente - PG-PR-04,Nordeste,RPGA do Rio Paraguaçu,-11.40119,-39.458099,32.25,1.25,2.75,28.5,17.0,270.25,77.25,22.25,14.5,33.75,22.0,166.0
Jacobina,Jacobina (Itapeipu) - IT-PR-34,Nordeste,RPGA do Rio Itapicuru,-11.315629,-40.356742,156.25,2.5,1.75,33.25,25.25,21.5,52.0,34.75,13.5,27.5,41.0,176.5
Caém,Caém - IT-PR-35,Nordeste,RPGA do Rio Itapicuru,-11.093399,-40.437579,228.25,6.0,15.75,113.75,48.5,39.75,104.5,55.75,22.0,68.75,47.25,189.5
Conceição do Coité,Conceição do Coité - IT-PR-14,Nordeste,RPGA do Rio Itapicuru,-11.526752,-39.313095,60.5,1.75,5.0,25.5,14.0,56.25,53.25,23.5,13.5,41.25,8.0,142.75
Queimadas,Queimadas (Povoado Rio do Peixe) - IT-PR-16,Nordeste,RPGA do Rio Itapicuru,-11.097292,-39.524491,24.25,0.0,4.0,16.0,11.75,27.5,57.25,12.0,11.0,20.0,9.25,115.5
Santaluz,Santaluz - IT-PR-17,Nordeste,RPGA do Rio Itapicuru,-11.24831,-39.37563,48.0,0.75,5.75,39.75,17.75,76.0,38.25,13.5,8.75,34.5,31.0,28.5
Nordestina,Nordestina (Açude Monteiro) - IT-PR-23,Nordeste,RPGA do Rio Itapicuru,-10.77645,-39.559491,29.75,3.0,14.0,45.0,43.5,20.5,62.5,22.5,16.75,32.25,5.0,210.0
Ribeira do Pombal,Ribeira do Pombal (Curral Falso) - IT-PR-01,Nordeste,RPGA do Rio Itapicuru,-10.697843,-38.5714,16.75,26.25,8.0,51.0,85.0,110.5,102.25,51.0,57.25,115.25,56.75,197.5
Ribeira do Pombal,Ribeira do Pombal - IT-PR-04,Nordeste,RPGA do Rio Itapicuru,-10.823399,-38.545844,43.5,1.0,2.0,45.75,112.0,66.25,102.25,60.0,51.25,89.25,43.75,116.75
Quijingue,Quijingue (BR 116 E. Cunha / Tucano) - IT-PR-05,Nordeste,RPGA do Rio Itapicuru,-10.7105,-38.9227,42.0,11.75,4.75,59.5,49.0,40.25,39.75,34.25,34.5,51.25,27.0,43.0
Ribeira do Pombal,Ribeira do Pombal - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.834635,-38.534383,57.91,1.1,2.6,56.7,125.8,68.7,131.8,62.7,57.9,103.5,50.5,142.5
Cipó,Cipó - EBDA,Nordeste,RPGA do Rio Itapicuru,-11.101305,-38.517717,16.3,0.0,8.8,73.7,51.6,43.5,103.8,54.2,43.7,49.81,23.0,173.5
Olindina_EBDA,Olindina_EBDA - EBDA,Nordeste,RPGA do Rio Itapicuru,-11.351311,-38.33438,96.8,0.0,0.0,90.7,137.11,52.01,123.5,35.0,5.0,69.2,58.2,42.9
Antas,Antas - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.401293,-38.334375,17.0,0.0,0.0,73.0,118.0,57.0,173.0,59.0,26.0,163.0,20.0,26.0
Paripiranga,Paripiranga - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.684633,-37.851032,45.7,0.0,0.0,95.11,170.1,122.6,223.0,83.0,66.7,171.71,26.7,41.3
Nova Soure,Nova Soure - EBDA,Nordeste,RPGA do Rio Itapicuru,-11.251311,-38.484383,14.4,0.0,0.0,129.6,96.2,38.2,155.6,39.31,16.6,61.41,15.5,129.5
Ribeira do Amparo,Ribeira do Amparo - EBDA,Nordeste,RPGA do Rio Itapicuru,-11.034638,-38.43438,9.9,5.0,4.5,92.4,69.4,56.2,122.2,48.5,28.21,80.0,28.1,219.01
Heliópolis,Heliópolis - EBDA,Nordeste,RPGA do Rio Real,-10.667965,-38.284375,89.8,0.0,7.2,73.11,92.8,51.7,95.2,17.7,17.0,50.2,33.1,146.3
Cícero Dantas,Cícero Dantas - EBDA,Nordeste,RPGA do Rio Real,-10.584629,-38.384377,53.0,18.5,14.0,103.0,136.0,81.0,188.5,65.0,39.0,119.0,37.5,227.0
Sítio do Quinto,Sítio do Quinto - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.367959,-38.201038,39.6,0.0,5.5,92.3,150.1,42.1,185.5,38.6,22.6,53.31,10.6,99.7
Adustina,Adustina - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-10.534629,-38.117704,10.5,0.0,0.0,109.0,167.8,39.41,117.0,29.3,42.7,81.0,9.0,52.4
Uauá,Uauá - EBDA,Nordeste,RPGA do Rio Vaza-Barris,-9.834609,-39.484404,42.4,0.0,0.0,35.4,3.2,12.6,1.2,8.2,0.0,11.2,3.0,236.0
Filadélfia,Filadélfia - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.734626,-40.134425,35.0,0.0,0.0,99.0,55.0,40.0,98.0,42.0,32.0,29.0,20.0,64.0
Itiúba,Itiúba - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.684626,-39.934419,45.5,0.0,0.0,129.5,52.5,55.5,62.5,31.0,19.7,33.5,2.0,167.5
Andorinha,Andorinha - EBDA,Nordeste,RPGA do Rio Itapicuru,-10.33462,-39.834414,63.5,0.0,0.0,53.5,82.0,75.0,112.5,9.5,39.0,32.0,20.0,317.0
Caldeirão Grande,Caldeirão Grande - EBDA,Nordeste,RPGA do Rio Itapicuru,-11.017965,-40.301095,145.0,0.0,0.0,59.0,26.0,16.0,36.0,51.0,15.0,66.0,56.0,140.0
Casa Nova,Casa Nova - EBDA,Norte,RPGA do Lago de Sobradinho,-9.08459,-40.617764,63.0,0.0,9.0,30.0,0.0,7.0,0.0,0.0,0.0,0.0,45.0,137.0
Remanso,Remanso - EBDA,Norte,RPGA do Lago de Sobradinho,-9.601263,-42.08447,41.8,0.0,78.7,57.6,0.0,0.0,0.0,0.0,0.0,9.3,67.2,211.61
Sento Sé,Sento Sé - EBDA,Norte,RPGA do Lago de Sobradinho,-9.734599,-41.851131,61.81,0.0,123.4,50.6,0.0,0.0,2.4,0.0,0.0,0.0,111.8,202.0
Juazeiro -EBDA,Juazeiro -EBDA,Norte,RPGA dos Rios Macururé e Curaçá,-9.41793,-40.501095,22.91,0.0,0.0,45.8,5.3,0.0,0.0,0.0,0.0,0.0,40.0,127.1
Sobradinho,Sobradinho - EBDA,Norte,RPGA do Lago de Sobradinho,-9.334594,-40.81777,93.1,0.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,123.8,85.0
Remanso,Remanso - A423,Norte,RPGA do Lago de Sobradinho,-9.625693,-42.077214,48.0,0.0,77.6,87.0,0.0,0.0,2.6,0.0,0.0,9.2,70.2,219.8
Irecê,Irecê - A424,Norte,RPGA dos Rios Verde e Jacaré,-11.328998,-41.864504,134.61,0.0,14.21,4.6,1.4,1.4,1.6,0.0,1.0,15.6,113.4,253.4
Irecê,Irecê - 83182,Norte,RPGA dos Rios Verde e Jacaré,-11.3,-41.866667,117.4,0.0,0.31,17.4,0.2,3.0,0.6,0.0,0.0,26.2,160.3,241.3
Remanso,Remanso - 82979,Norte,RPGA do Lago de Sobradinho,-9.633333,-42.1,47.41,0.0,78.31,87.11,0.0,0.0,1.6,0.0,0.0,9.8,68.7,219.91
Juazeiro,Juazeiro - UEP - EMBRAPA -EBDA - EBDA,Norte,RPGA dos Rios Macururé e Curaçá,-9.41293,-40.499706,83.3,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,127.7
Juazeiro,Juazeiro - Est. Exp. Caraíbas - EBDA,Norte,RPGA dos Rios Macururé e Curaçá,-9.418208,-40.510817,51.0,0.0,0.0,33.0,0.0,5.0,18.0,7.0,0.0,0.0,61.0,190.6
Irecê,Irecê - VJ-CL-01,Norte,RPGA dos Rios Verde e Jacaré,-11.289166,-41.894166,121.75,0.0,12.0,31.5,2.25,4.5,0.0,0.0,0.75,11.25,100.1,280.0
Campo Formoso,Campo Formoso - EBDA,Norte,RPGA do Rio Itapicuru,-10.501287,-40.317761,43.0,0.0,0.0,249.0,119.0,117.0,154.5,101.0,58.0,100.0,46.0,189.0
Jaguarari,Jaguarari - EBDA,Norte,RPGA do Rio Itapicuru,-10.251284,-40.184423,84.0,0.0,0.0,322.0,30.0,48.5,113.0,43.0,50.0,65.0,30.0,135.0
Barreiras,Barreiras (INMET) - EBDA,Oeste,RPGA do Rio Grande,-12.134635,-44.984551,316.4,49.1,87.8,61.11,2.7,0.0,0.0,0.0,6.0,43.6,188.7,255.9
Formosa do Rio Preto,Formosa do Rio Preto (SEDE) - EBDA,Oeste,RPGA do Rio Grande,-11.051281,-45.201218,329.8,46.2,114.2,29.8,0.0,0.0,0.0,0.0,0.0,32.4,92.0,355.51
Barreiras,Barreiras (Form. Rio Preto) - 46550000,Oeste,RPGA do Rio Grande,-11.154444,-45.009166,306.4,49.7,111.2,81.8,4.2,0.0,0.0,0.6,5.9,52.31,182.3,253.9
Formosa do Rio Preto,Formosa do Rio Preto (COACERAL) - GR-CL-02,Oeste,RPGA do Rio Grande,-10.561944,-45.693333,409.3,24.0,217.75,133.0,14.0,1.0,0.0,0.0,0.0,47.25,161.5,268.25
Barreiras,Barreiras - A402,Oeste,RPGA do Rio Grande,-12.124715,-45.027049,301.2,30.8,109.0,82.4,13.8,6.61,0.0,0.0,10.2,70.4,149.61,243.2
Barreiras,Barreiras - EBDA,Oeste,RPGA do Rio Grande,-12.084632,-45.6679,149.3,14.2,185.0,150.71,1.2,0.0,0.0,0.0,3.0,65.6,176.9,354.7
São Desidério,São Desidério - R. Velha - GR-CL-01,Oeste,RPGA do Rio Grande,-12.898055,-46.157222,384.75,59.25,173.5,69.0,0.5,4.0,0.0,0.0,35.75,120.75,56.5,13.0
Fazenda Rio Brilhante,Fazenda Rio Brilhante,Oeste,RPGA do Rio Grande,-12.802859,-45.729985,359.8,71.2,135.21,209.4,0.0,0.0,0.0,0.0,5.0,163.8,84.2,466.6
Fazenda Morete,Fazenda Morete,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",-13.222316,-45.154969,283.25,66.25,117.75,83.25,0.0,2.0,0.0,0.0,1.75,84.25,164.75,324.0
Correntina,Correntina - A416,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",-13.332386,-44.617376,145.6,10.0,121.61,29.6,0.2,0.0,0.0,0.0,1.2,86.6,311.2,341.21
Barreiras,Barreiras - 83236,Oeste,RPGA do Rio Grande,-12.155556,-45.007778,341.9,54.7,87.8,68.3,2.7,0.3,0.0,0.0,6.0,43.6,188.7,255.9
Barreiras,Barreiras (UEP - S. Francisco) - EBDA,Oeste,RPGA do Rio Grande,-12.167969,-44.984551,317.8,30.3,153.0,89.8,0.0,0.0,0.0,0.0,0.0,83.6,156.8,315.2
São Desidério,São Desidério (Fz. Mutamba) - EBDA,Oeste,RPGA do Rio Grande,-12.364639,-44.974551,325.5,47.5,121.5,61.0,1.0,1.0,0.0,0.0,2.0,56.0,142.0,266.5
Correntina,Correntina (Arrojado) - 45770000,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",-13.4528,-44.5689,154.6,24.0,172.4,13.0,0.0,0.6,0.0,0.0,21.8,81.4,221.01,150.61
Salvador,Salvador (Ondina) - 83229,Recôncavo,RPGA do Recôncavo Norte,-13.005278,-38.505833,36.2,28.6,38.41,230.8,231.11,308.41,198.0,211.21,109.4,208.6,209.2,158.2
Feira de Santana,Feira de Santana - PG-PR-13,Recôncavo,RPGA do Rio Paraguaçu,-12.268161,-38.96642,65.75,5.25,16.75,89.25,42.75,103.25,81.25,76.25,31.5,60.0,39.5,72.75
Itatim,Itatim - PG-PR-14,Recôncavo,RPGA do Rio Paraguaçu,-12.720391,-39.700059,33.5,20.0,10.25,8.5,6.5,23.75,18.5,17.25,33.25,4.25,48.75,171.0
Salvador,Salvador - CIA,Recôncavo,RPGA do Recôncavo Norte,-12.865789,-38.365219,36.5,105.5,45.0,425.0,336.3,375.0,177.0,202.5,119.0,220.0,161.0,58.0
Cruz das Almas,Cruz das Almas - A406,Recôncavo,RPGA do Rio Paraguaçu,-12.675422,-39.08958,103.0,82.2,20.21,136.21,61.0,4.21,59.0,112.01,74.01,72.2,88.81,74.61
Salvador,Salvador - Canabrava,Recôncavo,RPGA do Recôncavo Norte,-12.924122,-38.429942,79.3,72.31,26.6,291.6,250.6,277.4,174.21,162.9,132.7,213.01,154.3,84.6
Salvador,Salvador - Inema -Monte Serrat,Recôncavo,RPGA do Recôncavo Norte,-12.930789,-38.517167,41.9,96.7,18.1,272.2,298.4,365.51,156.7,187.3,108.21,189.71,196.2,124.7
Salvador,Salvador - 19 BC,Recôncavo,RPGA do Recôncavo Norte,-12.961069,-38.461056,129.9,48.6,8.8,175.7,176.21,166.0,181.1,131.6,154.5,214.2,169.1,125.8
Salvador,Salvador - Base Naval/SSN,Recôncavo,RPGA do Recôncavo Norte,-12.796341,-38.489389,43.6,41.81,37.3,230.8,212.4,295.6,164.5,113.5,80.11,158.0,104.7,86.4
Salvador,Salvador - Ilha Amarela,Recôncavo,RPGA do Recôncavo Norte,-12.891344,-38.470778,52.8,102.81,53.2,258.0,353.1,442.4,193.09,182.4,97.6,220.7,113.0,157.9
Alagoinhas,Alagoinhas - 83249,Recôncavo,RPGA do Recôncavo Norte,-12.148333,-38.425556,35.1,31.9,15.3,190.0,174.7,117.71,190.1,103.41,62.9,87.81,37.6,69.31
Cruz das Almas,Cruz das Almas - 83222,Recôncavo,RPGA do Rio Paraguaçu,-12.666667,-39.083333,86.5,76.3,19.0,142.0,130.5,181.9,137.3,121.51,71.21,90.4,89.61,72.7
Feira de Santana,Feira de Santana - 83221,Recôncavo,RPGA do Recôncavo Norte,-12.196111,-38.967222,123.2,5.7,1.0,84.9,39.5,112.31,74.2,54.0,34.6,72.0,55.7,66.2
Amargosa,Amargosa - A434,Recôncavo,RPGA do Recôncavo Sul,-13.009468,-39.616881,37.6,49.0,27.4,32.0,47.81,84.4,91.6,93.2,86.61,39.0,62.2,122.6
Candeias,Candeias - EMBASA,Recôncavo,RPGA do Recôncavo Norte,-12.663561,-38.533,103.9,32.2,11.7,263.3,244.4,180.61,213.61,166.01,105.91,81.5,73.3,84.7
Dias D´Ávila,Dias D´Ávila - EMBASA,Recôncavo,RPGA do Recôncavo Norte,-12.620505,-38.315217,38.0,14.8,35.3,186.65,180.43,253.82,201.2,187.13,79.2,128.77,90.15,45.25
São Sebastião do Passé-EMBASA,São Sebastião do Passé-EMBASA,Recôncavo,RPGA do Recôncavo Norte,-12.517449,-38.492165,72.5,67.18,28.7,169.3,176.4,232.2,173.2,133.9,48.7,116.2,62.8,61.5
Simões Filho,Simões Filho (Joanes II) - 322,Recôncavo,RPGA do Recôncavo Norte,-12.674147,-38.376254,106.3,56.6,47.31,264.1,193.5,184.4,201.91,157.5,82.3,108.3,82.8,41.1
Camaçari,Camaçari (Santa Helena) - 323,Recôncavo,RPGA do Recôncavo Norte,-12.56202,-38.1606,19.1,31.6,15.4,143.8,219.9,195.85,200.2,207.4,98.3,247.5,72.7,15.0
Salvador,Salvador - Itapuã - RN-CL-01,Recôncavo,RPGA do Recôncavo Norte,-12.931388,-38.361111,81.2,62.8,26.31,244.92,258.9,291.31,164.7,154.8,124.5,204.51,147.6,70.7
Jaguaquara,Jaguaquara - RS-CL-01,Sudoeste,RPGA do Recôncavo Sul,-13.573055,-39.940833,176.25,54.25,11.0,110.25,53.0,77.75,86.0,61.5,77.25,26.0,79.0,144.25
Jequié,Jequié - CO-CL-03,Sudoeste,RPGA do Rio de Contas,-13.873055,-40.071944,220.5,26.75,13.5,147.0,13.0,30.0,31.0,19.75,22.25,0.75,158.75,133.75
Vitória da Conquista,Vitória da Conquista - PA-CL-01,Sudoeste,RPGA do Rio Pardo,-14.886111,-40.800833,96.75,64.75,0.5,59.5,8.5,38.75,15.25,13.75,16.25,42.25,31.0,236.0
Itiruçu,Itiruçu - A407,Sudoeste,RPGA do Recôncavo Sul,-13.52629,-40.12055,104.01,76.8,22.8,35.0,39.4,71.6,68.41,71.6,59.41,17.41,69.4,140.61
Vitória da Conquista,Vitória da Conquista - A414,Sudoeste,RPGA do Rio Pardo,-14.886428,-40.80133,101.4,64.61,3.0,61.0,13.4,37.81,17.6,19.01,20.6,28.21,32.6,233.6
Ituaçu,Ituaçu - 83292,Sudoeste,RPGA do Rio de Contas,-13.812778,-41.3,181.5,0.0,0.5,11.11,49.4,28.6,9.5,13.0,4.2,12.11,19.6,150.4
Vitória da Conquista,Vitória da Conquista - 83344,Sudoeste,RPGA do Rio Pardo,-14.883333,-40.8,95.4,65.1,2.1,59.31,11.4,35.3,17.1,20.4,20.8,29.3,33.2,232.7
Brumado,Brumado - A433,Sudoeste,RPGA do Rio de Contas,-14.181886,-41.672281,149.0,0.4,6.61,24.4,15.4,9.6,2.4,5.8,4.6,80.6,56.2,234.6
Ipiaú,Ipiaú - A445,Sudoeste,RPGA do Rio de Contas,-14.171304,-39.692502,194.2,86.0,30.8,113.21,65.4,111.81,80.21,106.01,37.61,12.0,18.2,57.41
Itapetinga,Itapetinga - A446,Sudoeste,RPGA do Rio Pardo,-15.24462,-40.22955,90.2,36.41,7.8,154.6,26.4,76.01,22.8,71.61,32.81,34.4,118.81,168.21
Tremedal,Tremedal - CO-PR-03,Sudoeste,RPGA do Rio de Contas,-14.980998,-41.410135,55.0,3.25,139.75,99.75,4.75,0.5,0.5,1.5,3.75,41.5,106.0,350.0
Camacã,Camacã (Fz Nanci) - 53880000,Sul,RPGA do Rio Pardo,-15.581395,-39.521095,107.0,71.0,31.0,60.0,60.0,123.0,69.0,68.0,84.0,47.0,123.0,136.0
Canavieiras,Canavieiras - 83398,Sul,RPGA do Rio Pardo,-15.666667,-38.95,205.2,135.7,54.31,114.5,254.2,401.6,254.9,221.8,246.8,215.71,241.5,579.31
Caravelas,Caravelas - 83498,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",-17.739167,-39.258333,67.11,15.11,145.21,117.31,36.9,79.0,187.11,140.9,68.81,175.0,227.6,274.8
Guaratinga,Guaratinga - 83446,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",-16.58,-39.78,110.51,34.8,25.0,131.61,36.2,91.1,59.51,92.5,86.7,73.7,280.1,260.0
Maraú,Maraú - A438,Sul,RPGA do Recôncavo Sul,-13.90694,-38.97222,304.4,275.0,118.81,361.01,311.21,223.4,300.0,298.0,143.21,127.01,463.0,28.6
Una,Una - A437,Sul,RPGA do Leste,-15.280215,-39.09127,192.21,226.8,53.2,166.61,116.2,195.0,146.4,175.2,266.6,207.4,342.8,227.0
Belmonte,Belmonte - A447,Sul,"RPGA dos Rios dos Frades, Buranhém e Santo Antônio",-16.08487,-39.21726,208.2,128.81,20.41,150.4,88.2,257.0,140.8,213.2,144.8,94.8,149.4,186.6
Teixeira de Freitas,Teixeira de Freitas - PJ-CL-01,Sul,"RPGA dos Rios Peruípe, Itanhém e Jucuruçu",-17.575555,-39.732777,79.04,9.25,58.5,190.0,62.0,58.25,196.0,88.0,70.5,177.0,159.5,287.5
Angical,Angical (SEDE) - EBDA,São Francisco,RPGA do Rio Grande,-12.001302,-44.684543,240.4,13.5,86.5,16.0,10.0,0.0,0.0,0.0,0.0,95.5,225.0,418.0
Baianópolis,Baianópolis (SEDE) - EBDA,São Francisco,RPGA do Rio Grande,-12.301308,-44.53454,148.3,40.81,138.3,58.3,11.1,0.0,0.0,0.0,0.3,45.6,187.9,294.5
