nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_01_22,02_01_22,03_01_22,04_01_22,05_01_22,06_01_22,07_01_22,08_01_22,09_01_22,10_01_22,11_01_22,12_01_22,13_01_22,14_01_22,15_01_22,16_01_22,17_01_22,18_01_22,19_01_22,20_01_22,21_01_22,22_01_22,23_01_22,24_01_22,25_01_22,26_01_22,27_01_22,28_01_22,total
Santaluz,IT-PR-17,Santaluz,Santaluz - IT-PR-17,-11.24831,-39.37563,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,4.6,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,4.4,0.0,18.6,0.0,29.21
Ribeira do Amparo,A458,Ribeira do Amparo,Ribeira do Amparo - A458,-11.058722,-38.444028,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,27.6,0.2,0.2,0.6,0.2,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,45.61
Curral Falso,IT-PR-01,Ribeira do Pombal,Ribeira do Pombal (Curral Falso) - IT-PR-01,-10.697842999999999,-38.5714,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.2,1.2,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.6,1.2,0.0,10.6,0.0,0.0,0.0,12.0,5.4,0.0,0.0,0.4,0.0,52.2
BR 116 E. Cunha / Tucano,IT-PR-05,Quijingue,Quijingue (BR 116 E. Cunha / Tucano) - IT-PR-05,-10.7105,-38.9227,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,127.8,0.0,0.0,14.4,2.0,0.0,5.2,0.0,152.4
Fazenda Laranjeiras III,IT-PR-09,Araci,Araci (Fazenda Laranjeiras III) - IT-PR-09,-11.334247999999999,-38.968638,Nordeste,RPGA do Rio Itapicuru,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.4,0.0,0.2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,11.4
Fazenda Alecrim ,IT-FR-21,Filadélfia,Filadélfia (Fazenda Alecrim ) - IT-FR-21,-10.7522,-40.22444,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,7.8,14.2,0.0,0.0,0.4,0.0,0.0,0.0,1.0,16.6,0.2,0.0,0.0,0.0,0.0,22.0,0.0,0.8,2.6,0.2,2.8,0.2,68.8
Fazenda Grutinha,IT-FR-13,Pindobaçu,Pindobaçu (Fazenda Grutinha) - IT-FR-13,-10.7589,-40.4367,Nordeste,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.2,0.0,7.0,1.2,0.0,0.2,0.0,0.0,0.0,0.4,25.2,0.0,0.0,0.0,0.0,0.0,1.8,7.4,0.0,14.6,0.0,6.0,3.6,67.6
Itaberaba,291840701A,Juazeiro,Juazeiro (Itaberaba) - 291840701A,-9.448369999999999,-40.485170000000004,Norte,RPGA dos Rios Macururé e Curaçá,0.2,26.4,4.0,0.0,0.0,0.0,51.6,18.0,1.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.2
Maria Gorete,291840703A,Juazeiro,Juazeiro (Maria Gorete) - 291840703A,-9.42014,-40.49909,Norte,RPGA dos Rios Macururé e Curaçá,0.6,39.8,0.2,0.0,0.0,0.0,17.8,19.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,17.6,7.2,1.8,107.81
João Paulo II,291840704A,Juazeiro,Juazeiro (João Paulo II) - 291840704A,-9.47067,-40.49805,Norte,RPGA dos Rios Macururé e Curaçá,0.4,6.0,0.0,0.0,0.0,0.0,32.0,24.8,0.4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.0,13.6,1.2,4.6,86.2
Lapão,291915701A,Lapão,Lapão - 291915701A,-11.38,-41.83,Norte,RPGA dos Rios Verde e Jacaré,0.0,34.6,1.6,0.0,0.0,0.0,19.6,1.0,41.4,1.2,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.2,104.61
Irecê,A424,Irecê,Irecê - A424,-11.328998,-41.864504,Norte,RPGA dos Rios Verde e Jacaré,0.0,10.6,0.4,0.0,0.0,0.0,0.6,0.6,39.4,0.8,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.6
Campo Formoso,IT-CL-02,Campo Formoso,Campo Formoso - IT-CL-02,-10.47062,-40.33412,Norte,RPGA do Rio Itapicuru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,36.8,0.0,0.0,0.0,0.0,0.0,2.6,0.4,1.6,8.6,0.0,6.4,0.2,63.4
Sento Sé,SO-CL-01,Sento Sé,Sento Sé - SO-CL-01,-9.78228,-41.81872,Norte,RPGA do Lago de Sobradinho,0.6,16.8,4.2,1.2,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,36.8,0.0,0.6,76.2
Itaguaçu da Bahia,VJ-CL-03,Itaguaçu da Bahia,Itaguaçu da Bahia - VJ-CL-03,-10.9549,-42.3465,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.8,8.2,9.6,0.0,0.0,0.0,6.6,0.4,1.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36.6,0.2,3.4,0.2,71.61
Juazeiro,48020000,Juazeiro,Juazeiro - 48020000,-9.4064,-40.5036,Norte,RPGA dos Rios Macururé e Curaçá,1.0,9.6,0.2,0.0,0.0,0.0,21.8,19.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,14.4,2.0,87.01
Ibipeba,VJ-CL-02,Ibipeba,Ibipeba - VJ-CL-02,-11.626669999999999,-42.064440000000005,Norte,RPGA dos Rios Verde e Jacaré,0.0,4.8,6.4,0.2,0.0,0.0,10.6,4.6,6.0,1.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.2,0.0,2.6,0.0,0.0,38.81
Formosa do Rio Preto,A452,Formosa do Rio Preto,Formosa do Rio Preto - A452,-11.052163,-45.200769,Oeste,RPGA do Rio Grande,10.8,0.4,0.6,9.0,15.2,8.0,6.4,20.0,42.2,3.8,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.2,0.2,130.2
Barreiras,83236,Barreiras,Barreiras - 83236,-12.155555999999999,-45.007778,Oeste,RPGA do Rio Grande,14.0,12.3,13.8,53.4,23.4,3.9,4.4,15.9,18.4,15.0,0.3,3.5,0.0,0.0,0.0,0.0,2.0,4.0,1.1,0.0,0.0,0.5,0.0,2.8,24.1,13.9,4.5,39.8,271.01
Derocal,46455000,São Desidério,São Desidério (Derocal) - 46455000,-12.412696,-45.121499,Oeste,RPGA do Rio Grande,4.4,11.0,1.0,22.4,73.6,19.6,0.8,32.0,36.6,14.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,19.0,8.0,6.0,3.6,253.21
Correntina,45590000,Correntina,Correntina - 45590000,-13.3406,-44.6386,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,35.2,3.8,33.4,40.6,0.0,7.0,19.6,28.4,23.6,6.0,0.0,8.8,4.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,9.6,2.2,255.4
Fazenda Redenção,46543000,Barreiras,Barreiras (Fazenda Redenção) - 46543000,-12.1358,-45.1033,Oeste,RPGA do Rio Grande,12.4,26.8,6.2,100.2,13.4,18.0,5.6,16.4,24.6,11.2,0.2,0.6,3.2,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,11.4,1.6,19.4,3.8,13.0,293.2
PCH Pres. Goulart-J,45600000,Correntina,Correntina (PCH Pres. Goulart-J) - 45600000,-13.3344,-44.6208,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.2,33.6,3.4,13.4,26.2,16.0,11.0,62.0,25.4,27.4,2.2,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.8,9.6,4.8,261.81
PCH Pres. Goulart-M1,45588000,Correntina,Correntina (PCH Pres. Goulart-M1) - 45588000,-13.3408,-44.6414,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.2,36.2,3.4,31.2,32.4,3.4,1.2,45.2,23.4,24.2,1.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,13.6,3.0,257.0
