nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_03_22,02_03_22,03_03_22,04_03_22,05_03_22,06_03_22,07_03_22,08_03_22,09_03_22,10_03_22,11_03_22,12_03_22,13_03_22,14_03_22,total
Campo Formoso,IT-CL-02,Campo Formoso,Campo Formoso - IT-CL-02,-10.47062,-40.33412,Norte,RPGA do Rio Itapicuru,0.0,0.0,1.2,4.6,23.2,2.4,1.8,5.6,0.4,0.2,1.0,0.2,0.0,0.0,40.6
Sento Sé,SO-CL-01,Sento Sé,Sento Sé - SO-CL-01,-9.78228,-41.81872,Norte,RPGA do Lago de Sobradinho,0.0,0.0,0.0,13.2,0.0,1.2,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,26.2
Itaguaçu da Bahia,VJ-CL-03,Itaguaçu da Bahia,Itaguaçu da Bahia - VJ-CL-03,-10.9549,-42.3465,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,4.0,10.0,0.2,0.0,0.0,0.0,0.0,0.0,3.6,0.0,17.8
Juazeiro,48020000,Juazeiro,Juazeiro - 48020000,-9.4064,-40.5036,Norte,RPGA dos Rios Macururé e Curaçá,0.0,0.0,0.0,13.0,31.8,12.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,57.6
Ibipeba,VJ-CL-02,Ibipeba,Ibipeba - VJ-CL-02,-11.62667,-42.06444,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.2,3.8,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Abreus,SA-FR-01,Campo Formoso,Campo Formoso (Abreus) - SA-FR-01,-10.01028,-40.695528,Norte,RPGA do Rio Salitre,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,3.6,7.2,21.6
Lapão,291915701A,Lapão,Lapão - 291915701A,-11.38,-41.83,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.2,18.2,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,19.0
Mirangaba,IT-PR-29,Mirangaba,Mirangaba - IT-PR-29,-10.954784,-40.574527,Norte,RPGA do Rio Itapicuru,0.0,1.0,0.4,3.6,16.0,18.8,2.6,1.6,0.6,1.2,8.2,0.4,0.8,0.0,55.2
Irecê,A424,Irecê,Irecê - A424,-11.328998,-41.864504,Norte,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.4,0.0,16.0,0.0,2.8,0.0,0.0,4.4,0.2,0.0,0.0,23.8
Correntina,45590000,Correntina,Correntina - 45590000,-13.3406,-44.6386,Oeste,"RPGA do Rio Corrente e Riachos do Ramalho, Serra Dourada e Brejo Velho",0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
