nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_04_11,02_04_11,03_04_11,04_04_11,05_04_11,06_04_11,07_04_11,08_04_11,09_04_11,10_04_11,11_04_11,12_04_11,13_04_11,14_04_11,15_04_11,16_04_11,17_04_11,18_04_11,19_04_11,20_04_11,21_04_11,22_04_11,23_04_11,24_04_11,25_04_11,26_04_11,27_04_11,28_04_11,29_04_11,30_04_11,total
Morro do Chapéu,83184,Morro do Chapéu,Morro do Chapéu - 83184,-11.216667,-41.216667,Chapada Diamantina,RPGA do Rio Salitre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.5,0.0,0.0,1.5,0.1,0.0,1.2,2.4,0.4,5.6,0.5,0.6,2.7,2.5,0.5,0.1,0.0,0.0,0.0,0.0,1.7,21.6
Piatã,A430,Piatã,Piatã - A430,-13.155681,-41.774125,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,1.4,0.8,6.4,0.6,4.6,11.6,16.6,16.0,1.8,14.0,2.8,1.8,2.6,0.0,0.0,0.0,0.4,6.4,3.2,15.8,111.4
São Félix do Coribe,EBDA,São Félix do Coribe,São Félix do Coribe - EBDA,-13.401899,-41.19585,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nova Vista,EBDA,Andaraí,Andaraí (Nova Vista) - EBDA,-12.151323,-40.267765,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
Ubiraitá,EBDA,Andaraí,Andaraí (Ubiraitá) - EBDA,-12.684663,-41.051122,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
Lençóis,A425,Lençóis,Lençóis - A425,-12.557854,-41.388808,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.4,0.0,9.0,0.0,2.0,0.0,10.0,1.0,3.4,6.2,14.6,8.4,0.8,0.2,9.2,0.0,0.0,0.4,1.6,13.4,92.61
Lagoa Bonita,PG-PR-15,Iacú,Iacú (Lagoa Bonita) - PG-PR-15,-12.931506,-40.226468,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.5,8.5,1.0,0.0,0.25,2.25,0.75,0.25,0.5,4.75,3.75,0.0,6.25,0.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,37.5
Ruy Barbosa,PG-PR-18,Ruy Barbosa,Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,Chapada Diamantina,RPGA do Rio Paraguaçu,0.25,0.0,0.0,0.0,0.0,0.0,0.0,5.25,7.0,6.0,0.0,0.25,0.0,0.5,0.25,0.0,5.0,0.5,2.5,0.25,2.75,5.25,8.5,0.0,0.0,0.0,0.0,0.0,0.75,0.5,45.5
Wagner,PG-PR-22,Wagner,Wagner - PG-PR-22,-12.289538,-41.161774,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.0,0.0,15.75,1.75,0.0,3.0,0.75,3.75,1.0,0.0,1.75,0.0,1.75,0.5,1.25,1.25,33.5
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.75,1.5,0.25,2.5,0.5,0.75,0.75,8.25,6.5,1.25,4.25,5.25,2.5,1.25,0.0,0.5,0.0,0.0,2.0,0.25,0.25,41.5
Iramaia,PG-PR-25,Iramaia,Iramaia - PG-PR-25,-13.290122,-40.962607,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,14.25,0.0,0.0,0.25,0.25,9.5,0.5,3.25,5.5,4.0,18.5,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,3.25,14.75,111.25
Cascavel,PG-PR-27,Mucugê,Mucugê (Cascavel) - PG-PR-27,-13.285954,-41.287619,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,1.0,0.0,0.5,0.25,2.5,0.5,4.0,7.0,0.25,5.5,10.25,1.5,0.0,0.0,0.0,0.0,0.75,2.25,2.5,14.5,53.5
Mulungu do Morro,,Mulungu do Morro,Mulungu do Morro,-11.980363,-41.619012,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,5.0
Barro Alto,,Barro Alto,Barro Alto,-11.769188,-41.909464,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.4,0.6,0.0,0.0,5.4,0.0,0.0,14.4,2.8,0.0,0.0,2.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,28.41
Barra dos Mendes,,Barra dos Mendes,Barra dos Mendes,-11.805077,-42.05708,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.75,0.0,0.0,2.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
Olho D'Água do Francisco,,Olho D'Água do Francisco,Olho D'Água do Francisco,-12.307034,-42.079028,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.6,1.4,81.6,5.2,0.2,0.0,2.25,0.0,0.0,0.5,0.0,0.2,0.0,0.75,1.0,0.5,1.0,1.0,0.25,0.75,0.0,0.0,0.0,0.2,0.2,0.0,0.0,97.61
América Dourada,,América Dourada,América Dourada,-11.464848,-41.442615,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75
Cafarnaum,,Cafarnaum,Cafarnaum,-11.676688,-41.470143,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Ibiaporã,PG-CL-01,Mundo Novo,Mundo Novo (Ibiaporã) - PG-CL-01,-12.05379,-40.83722,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5,0.0,0.0,0.5,0.75,1.5,3.25,13.5,9.5,0.75,0.75,0.75,6.75,9.75,0.25,1.0,0.0,0.0,0.25,4.5,10.0,67.25
Marcionílio Souza,PG-CL-03,Marcionílio Souza,Marcionílio Souza - PG-CL-03,-13.00021,-40.537783,Chapada Diamantina,RPGA do Rio Paraguaçu,0.6,0.0,0.0,0.0,0.0,0.0,0.0,2.25,0.0,0.25,0.0,0.25,0.0,0.25,0.0,2.0,8.0,3.25,0.0,46.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.25,3.25,70.35
Seabra,PG-PR-01,Seabra,Seabra - PG-PR-01,-12.428149,-41.770409,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.5,0.0,0.5,0.25,0.75,0.25,0.75,5.25,2.5,1.5,16.25,1.75,1.5,0.0,0.25,0.0,0.0,1.0,0.0,7.75,42.25
Iraquara,PG-PR-02,Iraquara,Iraquara - PG-PR-02,-12.255093,-41.61679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,1.0,2.0,6.25,0.75,20.25,1.5,7.75,2.25,1.25,0.0,0.0,0.0,0.0,1.25,0.0,1.75,46.75
Piritiba,PG-PR-07,Piritiba,Piritiba - PG-PR-07,-11.733137,-40.562306,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,3.75,21.0,0.0,0.0,2.5,1.75,0.5,0.5,0.75,0.75,10.0,1.75,0.75,2.0,2.75,0.5,0.0,0.0,0.0,0.25,0.0,0.5,51.75
Tapiramutá,PG-PR-09,Tapiramutá,Tapiramutá - PG-PR-09,-11.838502,-40.791761,Chapada Diamantina,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.75,10.0,0.5,0.0,2.25,1.0,1.25,1.0,8.25,5.0,4.5,6.5,3.5,6.0,8.25,0.5,0.0,1.0,0.0,0.5,2.5,1.75,66.75
Piatã,CO-CL-04,Piatã,Piatã - CO-CL-04,-13.164166,-41.770833,Chapada Diamantina,RPGA do Rio de Contas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,2.25,1.25,0.75,12.5,0.0,0.75,5.75,14.25,10.0,1.0,11.0,3.0,1.5,0.0,0.0,0.0,0.0,0.25,5.0,2.75,9.25,82.5
