nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_08_19,02_08_19,03_08_19,04_08_19,05_08_19,06_08_19,07_08_19,08_08_19,09_08_19,10_08_19,11_08_19,12_08_19,13_08_19,14_08_19,15_08_19,16_08_19,17_08_19,18_08_19,19_08_19,20_08_19,21_08_19,22_08_19,23_08_19,24_08_19,25_08_19,26_08_19,27_08_19,28_08_19,29_08_19,30_08_19,31_08_19,total
CAB,292740811A,Salvador,Salvador (CAB) - 292740811A,-12.943354,-38.421264,Recôncavo,RPGA do Recôncavo Norte,3.54,0.98,0.0,0.98,7.47,0.2,0.0,0.0,1.77,38.36,3.15,0.4,0.0,2.17,0.8,2.96,9.1,19.68,23.26,0.0,0.0,0.0,0.4,0.0,0.0,0.99,2.36,0.0,5.15,20.48,0.0,144.21
Cosme de Farias,292740816A,Salvador,Salvador (Cosme de Farias) - 292740816A,-12.979402,-38.4855,Recôncavo,RPGA do Recôncavo Norte,0.4,0.2,0.0,0.59,5.92,0.2,0.0,0.0,0.59,13.03,0.0,0.0,0.0,0.4,0.0,0.0,1.79,10.64,12.23,0.0,0.0,0.0,0.0,2.37,0.2,0.98,2.35,3.15,10.65,8.87,0.0,74.56
Pirajá,292740801A,Salvador,Salvador (Pirajá) - 292740801A,-12.8994,-38.458833,Recôncavo,RPGA do Recôncavo Norte,0.59,0.79,0.0,0.2,3.55,0.0,0.0,0.0,0.79,10.84,3.94,0.59,0.0,2.16,0.0,1.97,9.66,9.85,10.83,2.95,0.0,0.0,0.0,0.0,0.0,1.97,1.39,0.0,5.94,13.29,0.2,81.51
Rio Sena,292740805A,Salvador,Salvador (Rio Sena) - 292740805A,-12.891344,-38.470778,Recôncavo,RPGA do Recôncavo Norte,0.0,3.16,0.0,0.2,5.12,0.0,0.0,0.79,1.97,27.94,7.89,0.79,0.0,3.14,0.2,2.77,16.75,13.01,13.98,0.4,0.0,0.0,0.0,0.0,0.0,4.93,4.34,0.0,14.79,23.86,1.0,147.04
Valéria,292740817A,Salvador,Salvador (Valéria) - 292740817A,-12.8644,-38.438276,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.2,5.53,0.79,0.0,0.0,0.98,25.79,6.12,1.39,0.0,0.4,3.94,0.98,16.35,7.48,13.79,9.45,0.0,0.0,0.0,0.0,0.0,2.36,4.73,0.0,11.85,52.6,0.0,164.73
Centro,290650101A,Candeias,Candeias (Centro) - 290650101A,-12.670229,-38.544112,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,6.14,0.0,0.0,0.0,4.92,13.01,0.8,0.79,0.0,2.78,1.19,0.79,13.59,4.35,5.32,0.0,0.2,0.0,0.0,0.0,0.0,0.4,1.78,0.2,16.98,17.76,0.0,91.01
Malemba,290650102A,Candeias,Candeias (Malemba) - 290650102A,-12.678285,-38.544112,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,8.08,0.0,0.0,0.0,7.29,10.84,0.2,0.79,0.59,2.38,1.78,1.19,12.62,2.56,0.99,0.4,0.0,0.0,0.0,0.0,0.0,0.79,0.99,0.0,15.61,16.97,0.0,84.07
Sarandi,290650104A,Candeias,Candeias (Sarandi) - 290650104A,-12.671341,-38.531056,Recôncavo,RPGA do Recôncavo Norte,0.0,0.0,0.0,0.0,5.31,0.0,0.0,0.0,4.33,13.59,1.77,1.38,0.0,1.78,1.38,2.0,16.54,5.13,2.17,0.2,0.0,0.0,0.0,0.0,0.0,1.18,2.18,0.0,13.84,18.35,0.0,91.13
Areia Branca,291920706A,Lauro de Freitas,Lauro de Freitas (Areia Branca) - 291920706A,-12.841,-38.337,Recôncavo,RPGA do Recôncavo Norte,0.0,3.18,0.2,0.39,5.71,1.38,0.0,0.0,1.18,11.24,7.68,0.79,0.0,9.64,1.58,0.2,20.56,7.5,22.68,0.0,0.0,0.0,0.0,0.78,0.0,6.3,1.97,7.92,29.36,36.26,1.78,178.28
Itinga,291920703A,Lauro de Freitas,Lauro de Freitas (Itinga) - 291920703A,-12.892,-38.336,Recôncavo,RPGA do Recôncavo Norte,1.77,0.2,0.0,1.78,2.38,0.2,0.0,0.0,0.79,34.18,3.34,0.0,0.0,0.0,0.79,1.57,15.37,8.28,22.06,0.0,0.2,0.0,0.0,0.0,0.0,7.88,0.99,0.79,10.04,39.59,1.39,153.59
Portão,291920701A,Lauro de Freitas,Lauro de Freitas (Portão) - 291920701A,-12.87,-38.305,Recôncavo,RPGA do Recôncavo Norte,0.0,0.98,2.56,0.59,1.78,0.0,0.0,0.0,2.37,16.74,8.28,0.2,0.2,5.33,0.78,0.0,24.52,6.3,30.32,0.0,0.0,0.0,0.0,0.2,0.0,10.24,0.2,2.57,19.68,27.47,0.6,161.91
Rua 02 de Julho,291920705A,Lauro de Freitas,Lauro de Freitas (Rua 02 de Julho) - 291920705A,-12.839,-38.35,Recôncavo,RPGA do Recôncavo Norte,0.0,0.59,0.59,0.2,6.49,1.77,0.0,0.0,0.79,11.24,8.27,0.2,0.0,7.3,3.16,0.6,13.03,9.66,18.7,3.73,0.0,0.0,0.0,0.59,0.0,6.89,0.6,2.96,20.66,30.37,0.59,148.98
Muritiba,PG-PR-12,Muritiba,Muritiba - PG-PR-12,-12.617895,-39.005591,Recôncavo,RPGA do Rio Paraguaçu,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.8,0.4,0.2,0.0,0.0,0.0,0.0,3.2,2.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0,13.6
Centro,292060101A,Maragogipe,Maragogipe (Centro) - 292060101A,-12.78,-38.917,Recôncavo,RPGA do Rio Paraguaçu,0.2,2.75,0.0,0.0,3.16,0.0,0.2,0.0,4.13,37.62,3.15,0.39,2.77,2.99,0.4,9.72,9.06,5.76,6.16,0.0,0.0,0.0,0.79,6.69,0.0,3.57,2.17,0.79,28.14,10.49,0.82,141.93
Rua São Roque,293290301A,Valença,Valença (Rua São Roque) - 293290301A,-13.363,-39.078,Recôncavo,RPGA do Recôncavo Sul,0.0,1.38,2.56,0.0,13.38,0.0,0.59,0.0,2.39,36.62,8.3,14.03,0.2,2.57,0.2,18.38,29.19,27.41,8.29,0.0,0.0,5.35,3.54,3.55,0.0,0.0,13.82,3.56,3.81,4.14,4.32,207.58
Amélia Rodrigues,RN-CL-03,Amélia Rodrigues,Amélia Rodrigues - RN-CL-03,-12.4194,-38.77668,Recôncavo,RPGA do Recôncavo Norte,1.3,2.8,0.4,2.0,7.2,0.1,0.7,0.0,7.8,5.3,5.3,4.1,0.7,0.5,3.8,3.3,6.7,3.9,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.6,2.0,1.4,33.6,19.6,0.6,114.5
Abaeté,RN-CL-05,Salvador,Salvador (Abaeté) - RN-CL-05,-12.9469,-38.35933,Recôncavo,RPGA do Recôncavo Norte,0.3,0.8,0.2,0.9,1.9,0.0,0.2,0.0,3.8,1.7,2.8,1.9,0.9,0.3,2.8,2.4,5.2,3.3,1.0,0.0,0.0,0.0,4.2,0.0,0.0,3.0,6.6,0.0,4.8,14.2,0.0,63.2
