nome_estacao,codigo,municipio,estacao,latitude,longitude,regiao,rpga,01_07_15,02_07_15,03_07_15,04_07_15,05_07_15,06_07_15,07_07_15,08_07_15,09_07_15,10_07_15,11_07_15,12_07_15,13_07_15,14_07_15,15_07_15,16_07_15,17_07_15,18_07_15,19_07_15,20_07_15,21_07_15,22_07_15,23_07_15,24_07_15,25_07_15,26_07_15,27_07_15,28_07_15,29_07_15,30_07_15,31_07_15,total
Boa Vista Tupim,PG-PR-17,Boa Vista Tupim,Boa Vista Tupim - PG-PR-17,-12.65622,-40.589813,Chapada Diamantina,RPGA do Rio Paraguaçu,1.5,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,2.0,8.25,3.5,3.0,0.5,0.5,0.0,0.0,0.0,0.0,1.75,0.5,0.0,0.0,0.0,0.0,0.0,0.0,25.0
Ruy Barbosa,PG-PR-18,Ruy Barbosa,Ruy Barbosa - PG-PR-18,-12.285653,-40.513698,Chapada Diamantina,RPGA do Rio Paraguaçu,0.75,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.75,2.25,0.0,0.25,3.75,4.5,4.25,2.5,3.0,0.25,0.5,0.0,0.0,1.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.5
Utinga,PG-PR-23,Utinga,Utinga - PG-PR-23,-12.030089,-41.058714,Chapada Diamantina,RPGA do Rio Paraguaçu,1.25,0.0,0.0,0.0,0.0,0.0,2.75,0.25,0.0,0.25,1.0,0.5,0.0,0.0,5.0,1.5,1.0,0.5,1.25,0.25,1.75,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.0,18.5
Guiné,PG-PR-24,Mucugê,Mucugê (Guiné) - PG-PR-24,-12.771772,-41.540679,Chapada Diamantina,RPGA do Rio Paraguaçu,0.75,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,1.5,0.25,1.5,9.5,1.25,3.25,1.75,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,21.0
Cascavel,PG-PR-27,Mucugê,Mucugê (Cascavel) - PG-PR-27,-13.285954,-41.287619,Chapada Diamantina,RPGA do Rio Paraguaçu,4.5,0.5,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,1.75,0.0,2.25,2.5,2.0,4.25,1.75,2.5,0.0,2.25,0.0,0.0,0.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,26.75
Mulungu do Morro,,Mulungu do Morro,Mulungu do Morro,-11.980363,-41.619012,Chapada Diamantina,RPGA do Rio Paraguaçu,0.8,0.0,0.0,0.0,0.0,0.0,3.8,0.2,1.0,0.0,0.6,1.0,0.0,0.0,1.0,4.4,0.4,1.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,15.0
Barro Alto,,Barro Alto,Barro Alto,-11.769188,-41.909464,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.4,0.0,0.2,0.0,0.0,0.0,0.0,1.0,1.4,0.0,0.4,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4
Canarana,,Canarana,Canarana,-11.69541,-41.78921,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Barra dos Mendes,,Barra dos Mendes,Barra dos Mendes,-11.805077,-42.05708,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.8,0.0,0.2,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.01
Olho D'Água do Francisco,,Olho D'Água do Francisco,Olho D'Água do Francisco,-12.307034,-42.079028,Chapada Diamantina,RPGA dos Rios Verde e Jacaré,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
